Date,Open,High,Low,Close,Adj_Close,Volume
4-Mar-25,270.93,284.35,261.84,272.04,272.04,"126,706,600"
3-Mar-25,300.34,303.94,277.3,284.65,284.65,"115,551,400"
28-Feb-25,279.5,293.88,273.6,292.98,292.98,"115,697,000"
27-Feb-25,291.16,297.23,280.88,281.95,281.95,"101,748,200"
26-Feb-25,303.71,309,288.04,290.8,290.8,"100,118,300"
25-Feb-25,327.02,328.89,297.25,302.8,302.8,"134,228,800"
24-Feb-25,338.14,342.4,324.7,330.53,330.53,"76,052,300"
21-Feb-25,353.44,354.98,334.42,337.8,337.8,"74,058,600"
20-Feb-25,361.51,362.3,348,354.4,354.4,"45,965,400"
19-Feb-25,354,367.34,353.67,360.56,360.56,"67,094,400"
18-Feb-25,355.01,359.1,350.02,354.11,354.11,"51,631,700"
14-Feb-25,360.62,362,347.5,355.84,355.84,"68,277,300"
13-Feb-25,345,358.69,342.85,355.94,355.94,"89,441,500"
12-Feb-25,329.94,346.4,329.12,336.51,336.51,"105,382,700"
11-Feb-25,345.8,349.37,325.1,328.5,328.5,"118,543,400"
10-Feb-25,356.21,362.7,350.51,350.73,350.73,"77,514,900"
7-Feb-25,370.19,380.55,360.34,361.62,361.62,"70,298,300"
6-Feb-25,373.03,375.4,363.18,374.32,374.32,"77,918,200"
5-Feb-25,387.51,388.39,375.53,378.17,378.17,"57,223,300"
4-Feb-25,382.63,394,381.4,392.21,392.21,"57,072,200"
3-Feb-25,386.68,389.17,374.36,383.68,383.68,"93,732,100"
31-Jan-25,401.53,419.99,401.34,404.6,404.6,"83,568,200"
30-Jan-25,410.78,412.5,384.41,400.28,400.28,"98,092,900"
29-Jan-25,395.21,398.59,384.48,389.1,389.1,"68,033,600"
28-Jan-25,396.91,400.59,386.5,398.09,398.09,"48,910,700"
27-Jan-25,394.8,406.69,389,397.15,397.15,"58,125,500"
24-Jan-25,414.45,418.88,405.78,406.58,406.58,"56,427,100"
23-Jan-25,416.06,420.73,408.95,412.38,412.38,"50,690,600"
22-Jan-25,416.81,428,414.59,415.11,415.11,"60,963,300"
21-Jan-25,432.64,433.2,406.31,424.07,424.07,"87,320,900"
17-Jan-25,421.5,439.74,419.75,426.5,426.5,"94,991,400"
16-Jan-25,423.49,424,409.13,413.82,413.82,"68,335,200"
15-Jan-25,409.9,429.8,405.66,428.22,428.22,"81,375,500"
14-Jan-25,414.34,422.64,394.54,396.36,396.36,"84,565,000"
13-Jan-25,383.21,403.79,380.07,403.31,403.31,"67,580,500"
10-Jan-25,391.4,399.28,377.29,394.74,394.74,"62,287,300"
8-Jan-25,392.95,402.5,387.4,394.94,394.94,"73,038,800"
7-Jan-25,405.83,414.33,390,394.36,394.36,"75,699,500"
6-Jan-25,423.2,426.43,401.7,411.05,411.05,"85,516,500"
3-Jan-25,381.48,411.88,379.45,410.44,410.44,"95,423,300"
2-Jan-25,390.1,392.73,373.04,379.28,379.28,"109,710,700"
31-Dec-24,423.79,427.93,402.54,403.84,403.84,"76,825,100"
30-Dec-24,419.4,427,415.75,417.41,417.41,"64,941,000"
27-Dec-24,449.52,450,426.5,431.66,431.66,"82,666,800"
26-Dec-24,465.16,465.33,451.02,454.13,454.13,"76,366,400"
24-Dec-24,435.9,462.78,435.14,462.28,462.28,"59,551,800"
23-Dec-24,431,434.51,415.41,430.6,430.6,"72,698,100"
20-Dec-24,425.51,447.08,417.64,421.06,421.06,"132,216,200"
19-Dec-24,451.88,456.36,420.02,436.17,436.17,"118,566,100"
18-Dec-24,466.5,488.54,427.01,440.13,440.13,"149,340,800"
17-Dec-24,475.9,483.99,457.51,479.86,479.86,"131,223,000"
16-Dec-24,441.09,463.19,436.15,463.02,463.02,"114,083,800"
13-Dec-24,420,436.3,415.71,436.23,436.23,"89,000,200"
12-Dec-24,424.84,429.3,415,418.1,418.1,"87,752,200"
11-Dec-24,409.7,424.88,402.38,424.77,424.77,"104,287,600"
10-Dec-24,392.68,409.73,390.85,400.99,400.99,"97,563,600"
9-Dec-24,397.61,404.8,378.01,389.79,389.79,"96,359,200"
6-Dec-24,377.42,389.49,370.8,389.22,389.22,"81,455,800"
5-Dec-24,359.87,375.43,359.5,369.49,369.49,"81,403,600"
4-Dec-24,353,358.1,348.6,357.93,357.93,"50,810,900"
3-Dec-24,351.8,355.69,348.2,351.42,351.42,"58,267,200"
2-Dec-24,352.38,360,351.15,357.09,357.09,"77,986,500"
29-Nov-24,336.08,345.45,334.65,345.16,345.16,"37,167,600"
27-Nov-24,341.8,342.55,326.59,332.89,332.89,"57,896,400"
26-Nov-24,341,346.96,335.66,338.23,338.23,"62,295,900"
25-Nov-24,360.14,361.93,338.2,338.59,338.59,"95,890,900"
22-Nov-24,341.09,361.53,337.7,352.56,352.56,"89,140,700"
21-Nov-24,343.81,347.99,335.28,339.64,339.64,"58,011,700"
20-Nov-24,345,346.6,334.3,342.03,342.03,"66,340,700"
19-Nov-24,335.76,347.38,332.75,346,346,"88,852,500"
18-Nov-24,340.73,348.55,330.01,338.74,338.74,"126,547,500"
